Title,Album,Lyrics,TitlesCleaned
Our Song,Taylor Swift,iwrswmhuitfsohchgaofotswtoomhilattrdhsbiswisniwjthwdhasahsosiassdsoltoywwwotpaytrscilaymdkositwyltfdmidkhaishawighfisaagihcpiaiwwutfpsaetdhgawabtoalatagtthwomwtmlbiadnatratntsosiassdsoltoywwwotpaytrscilaymdkositwyltfdmidkhaishawighfisaagihcpiadihealttrwfstcatwagaoscosiassdsoltohwwwotpahtrscilahmdkositwhltfdmidkhaishawighfisaagihcpiapiaoyoyiwrswmhuitfsohcigapaaonaiwdos,os
I'm Only Me When I'm With You,Taylor Swift,fnbtsiafbyyyaiappitsaswdsatjlttcseinirhbmsaikeayidwlwyiouwynddwfiysotgilnmwidwydmchtttohiottlyktwifitaiomwiwyjasbagliacwtfowiaitaidtthmtmsomdftiangmlydaykeamystyclwmiouwynddwfiysotgilnmwidwydmchtttohiottlyktwifitaiomwiwywiwaeishtbmaoycttiouwynddwfiysotgilnmwidwydmchtttohiottlyktwifitaiomwiwbwiomwiwywyuy,iomwiwy
Invisible,Taylor Swift,scstwyeluwyssnnhysaswswbaycsmwytwywhbyaetmaijwsysdekysnglyliwtayjsrtmbiyokmwcbabmuiojioyotafioytchbstsngstlnmwydaaitaihtmytomaetwcbaijwsysdekysnglyliwtayjsrtmbiyokmwcbabmuiojilsiaflowiijwoyeamyrijwsysdekyblmlylmwyyjsrtmbiyokmwcbabmuiojioyscstwyeluwys,i
A Perfectly Good Heart,Taylor Swift,wwywbapghwwywtolatiaanwwywmtvfswwywbapghmisstssrtwotwarbtdiyetiwbtotfnmwysiscbtywwaidmstmbwwywbapghwwywtolatiaanwwywmtvfswwywbapghinuainuahdigibtwiwbwwywbapghwwywtolatiaanwwywmtvfswwywbwwywbiwwywbapghwwywtolatiaanwwywmtvfswwywbapghm,apgh
Beautiful Eyes,Beautiful Eyes,ybesrimasitoylanidkwiwbswyaiwbwyhyealimsbmmfmhhnftwbiltyiltyeiwuiaioalwiccymlsbchmtciiwbeyniwbwyhyealimsbmmfmhhnftwbiltyiltyejalaymibyetlmlykyoblmmylmsydadadayeaabe,be
I Heart ?,Beautiful Eyes,wihctslwcbisijfiaiwobjlwicicoabibabbyamiiatawihtdywuastbfmhpommamidpaibytybmwycosigaihqmwotbomhibfiyjwbbyhttawywwaiwrbicbymmsahclabwrbtpenanyaayaitnyairwypmtihtwuastbfmhpommamidpaibytybmwycosigaihqmwotbomhawyhaaanyswwyteihobihtayaitnyaiaiksywwuastbrtwwmuidgtwypaykydbmwyldasigaihqmwotbomhwotbomhaihqmywotbomh,ih
Fearless (Taylor's Version),Fearless (Taylor's Version),tsbtwtslwijrtagotpywmttcaykiwaytdrtitmotplyoywddtriwiykitshntgcunbyjscryhtyhammwyaidkhigbttytmhadmhfaidkwbwyidiasimbdfsbdstwrooritotiwsrhitpsypyeomitmnciricidkhigbttytmhadmhfaidkwbwyidiasimbdfowystwmitdmhsinutwbypmiaialmbitfkifrsifoycidkhigbttytmhadmhfaidkwbwyidiasimbdfcidkhigbttytmhadmhfaidkwbwyidiasimbdfooy,f
Fifteen (Taylor's Version),Fearless (Taylor's Version),ytadbaywttditmoyvfdyshtyfyasiawtasooewiyfyaygbhftnfyitthootsbwwayasykihsyabcwyfastytlyygbtawyffltntfowctttiitilbykwygbafysicntarnaaseybflatogwttscwbohasawcatyoyvfdahgacayflfaymwuaythtoaydryrwtnewtnecwyfastytlyygbtawyfayfkmyhsawiylydtgtdtbotftidkiafwaywwtbwwycgbatywyknbtisiwgmhsbirsbdomaageshtabwchmawbccwyfastytlyygbtawyfdftlbyfbiftchmaayjmfwystbidkwiwstbafllllllllyvfdtadbgtadbaywttd,f
Love Story (Taylor's Version),Fearless (Taylor's Version),wwbywifsyicmeatfsistoabisastlstptbgsymywttcashldiktywrywtpamdssafjaiwcotsbypdgaisrtmswcbaibwatltdirybtpaibtpialsbjsysisottgtsywkqcwditkscyeettfalwoocywriwaslamdssafjbywetmiwbypdgaisrtmswcbaibwatltdirybtpaibtpialsbjsyrsmttttmhtftlidbirdbawmiootmialsbjsyoobigtowwiywecamfiywfwimyotootaisrsmibfsaikwfybyncitimhidkwtthkttgapoarasmmjynhtbailyatairkittydgpoawdialsbjsyoooooocwwbywifsy,ls
Hey Stephen (Taylor's Version),Fearless (Taylor's Version),mmmmmyhsiklcbdbikisaliyaawwwwtidshttiwtoatgtraywibtowtewichsbymhmbidahtbacichiiyllaachiiiwkyitrscftmibfsimychiitnoemichmmmomhsibhbtfsigsttstyhisiasitbinsnstwydtwywwytwysmnibwdyechswapalityaisstscichiiyllaachiiiwkyitrscftmibfsimychiitnoemichmmmtdtslypfmwayhtiwanscoacoapmnassshsicgyfrwisbtoycatogwtbbwtwasfyhichiiyllaachiiiwkyitrscftmibfsimychiitnoemichmiyllaachiiiwkyitrscftmibfsimychiitnoemichmommichmichmommmmm,hs
White Horse (Taylor's Version),Fearless (Taylor's Version),systfoaacojwynitaipbafattcihbiyhotddosgiskisktinaptaafintoysohflhutstahtiastiwadbywalmdnitlfyaywhtcamiwngliyeanrhacwmmidktbilyhtfthtuhihsmdayamhewniktinaptaafintoysohflhutstahtiastiwadbywalmdnitlfyaywhtcaatyaoykbffbfmjliawbisscinyptaofigfsswmatmwtiabwtwasttimrmdnaitlfyaywhnitlfyaywhtcmnowwwtacmnoitltcmn,wh
You Belong With Me (Taylor's Version),Fearless (Taylor's Version),yotpwygsusgoastyscsdgyhlidiimriattnilttkomsdlasnkyslidcswssiwtsccaiotbdbtdwywuaftwylfhbhtwtiycstitowuybhaaswcysybwmybwmwtswyaywjichttihiotbloapbttmhiteaygastclutwtihsiiawssbydysyfikybtthwydwagltswhhiwssccaiotbdatdwywuaftwylfhbhtwtiycstitowuybhaaswcysybwmsbawaybdatthcynkbybwmybwmoirydtmhitmotnitowmylwykybtcikyfsaytmbydtikwybtikiwmcystitowuybhaaswcysaybwmsbawaybdatthcynkbybwmybwmybwmhyetjmybwmybwm,ybwm
Breathe (Taylor's Version),Fearless (Taylor's Version),isyfimmaidacnoutiwgetwpapaswcombikmtsygaattmmmmtmsplteoasmitkoeydrwscitaiobydnidkwtbwyaawkinsnenacbnohtsmytotikltbomhaicbwybihtbwybihtnwtnwsyhelbitrittsbpapasidwoanwsigsuftfawkinsnenacbnohtsmytotikltbomhaicbwybihtbwybihti2aflijlafhykineefmi2aflijlafhyktaeefmawkinsnenacbnohtsmwicbwybihtbwybihtbwybihtisismisyyisisisois,b
Tell Me Why (Taylor's Version),Fearless (Taylor's Version),itacitasaymtibbinytasitihadhftgiswyaisatoyaiflidkyytmtylmtcmdainylahbykygamsmmrfcwyahtyaytyirwyslnaiktyswydtmtmwwycwabohtrspdwigscaffwittsoisatoyrignotbiytmtywmtpmaainylahbykygamsmmrfcwyahtyaytyirwyslnaiktyswydtmtmwwdyhtmmfssycfwiwdyhtpdmdsytotommwisatoyaflidkyytmtywmacmdisatoyrignotbiyamfmltypmahtyaytyirwyslnaiktyswydtmtmwwtmwoitasbilygityinbnyk,tmw
You're Not Sorry (Taylor's Version),Fearless (Taylor's Version),attiwwhywcaibgocetaaydilmdaitmtlbbifyoaytwbfabnttaydhtcaiwputptitlsdwhaayctmtysbidbyblidbynsnnnnylsiimbyiidkclyamliyhlmwitcaygysosaitobltkoanyamtlciwetbbydhtcaiwputptitlsdwhaayctmtysbidbyblidbynsnnynsnnyhmcfyhainwganyutssbbiwaoifsydhtcaiwputptitlstnltbfayctmtysbidbyblidbynsnnynsnnnnnnnnnnnnnnwooooooooonnnnn,yns
The Way I Loved You (Taylor's Version),Fearless (Taylor's Version),hisasiaamsfajhseinthailicafabhoumdaigihcahsylbtaifpfbimsafakitrai2aaicynsiltyaiattwilybdacuiaarkorainkicftmattwilyhrmsanmmwahcewhshwhctmmtbwmfhcaeaicbimsafakitrai2aaicynsiltyaiattwilybdacuiaarkorainkicftmattwilyhcstsifamhnbcinfaaaaywwacjsficgabsmanimsafakitri2aaicynsiltiaiattwilybdacuiaarkorainkicftmattwilywwooattwilyoooooonkicftmttwily,twily
Forever & Always (Taylor's Version),Fearless (Taylor's Version),ouatibiwatwicyeawcosihotnylmiteatmylmwyjkcistmttibdwansidfwabwhptmcosiwpnyhotdaisatphshcatyfslycfnaaayftwhsfaaooairiybeiwirwyhairwygciwtwysfaawiooldisswthmyrahlaslbiliyetikyfamninssshtecdtnhtstcmttcwitgtikfambidaaisatphshcatyfslycfnaaayftwhsfaaooairiybeiwirwyhairwygciwtwysfaaydmibidtsowobubbudyfebubbudyfeciriybeiwirwyhairwygciwtwysfaaoisatphshcatyfslycfnaaayftwwsfaaairiybeiwirwyhairwygciwtwysfaaydmibysfaay,fa
The Best Day (Taylor's Version),Fearless (Taylor's Version),ifyoigcigmbcoihylalusayirarptppattrlntsigihylafaotwhidkwattcitfbikynsoaaadkiswhinofabikihtbdwytitnadkhmfcbsmichcayhmtagtkawdaduwfatfeaawtawstifatnidkwigttnasbikilotcrhwydkhligttfobikihtbdwytihaefhsimmsgsomlbiaohbtiaiguiaphaihstraihtbdwytiaviffbwiwtysuapsitkayttmitaopapsatsddsaytplitwwwnikwattcitfikywomsewiwwailyfgmyefsbawmsaidkiyksittctstihtbdwyt,tbd
Change (Taylor's Version),Fearless (Taylor's Version),wiasptfbhysegwywaaykiatsataprhaygsoibibiwydaidatsitbttwccyfintwttputhubwfdtrttwcfutfwawshwshooswborancihtfwtfafwgsnfttnftmbbbwfansycwaswdntbtsiyeswcbtcttwccyfintwttputhubwfdtrttwcfutfwawshwshootwsagookffwwwfatyatbwlitfoolbwsuctiwtntccysinwtwttputhubfdiartyhucwngiawshwshoh,c
Jump Then Fall (Taylor's Version),Fearless (Taylor's Version),iltwysitmwotpawawirylitbsihehiltwickmfiwytydnihtwbaictiwsbtetysisaetysisfywifybdbatjtfjtfimbinglystywbwmtcistiasjtfhwiltwyhfiyfygtktmilefoyfoinbswuhiltwyeiewihtttioaaicsicctadbajtfimcetysisaetysisfywifybdbatjtfjtfimbinglystywbwmtcistiasjtftbgdofuoficyicywpsttbytykicyttigcwysmyccbihyttnuyswinybdbapjtfjtfimbinglystywbwmtcistiasjtfjtfbjtfimimetysisaetysisaetyhbisyisyycjtfjtfjtfimimy,jtf
Untouchable (Taylor's Version),Fearless (Taylor's Version),uladdsiroaijctywicuiyicuiyubbttsawyciflcuitmotnwiitdilamlssoynygcocostwbtcocoltohooihfaiwwhadikystybhabyubbttsantyciflcuitmotnwiitdilamlssoynygcocostwbtcocooitmotnwftdiwfybmssntmygcocostwbtcocoltohicuiyoobyubbttsntyciflcuitmotnwiitdilamlssoynygcocostwbtcocooitmotnwiitdilamlssoynygcocostwbtcococoitmotnwftdiwfybmssntmygcocostwbtcocoltohooooaitmotnwiitdilamlssoynygcocoococococoooooilamlssoynsoyno,u
Come In With The Rain (Taylor's Version),Fearless (Taylor's Version),icgbtelbidwgtaaikatsutydbidwgtatttwtttstttmwtrwalmkwyfilmwocittantcynjkirhhtyciwtricsuasyasbidwhtgtfaiigydikybhaydekwisttytttttttmwpyhadwftstcilmwocittantcynojkirhhtyciwtriwyslsynidkweicsilmwocittanfatgjkirhhtyciwtricgbtelbidwgta,ciwtr
Superstar (Taylor's Version),Fearless (Taylor's Version),tiwbichbfltanmrbmmcaaichbwicsyfikftfnpibbamrtsyystbsaatgitfrsynsdtstmtlickmeooyinosjawgwdilwygmapthomwsmlcawindaywmwwutybiataikwisyfibcdtwtsyystbsaatgitfrsynsdtstmtlictmeooyinosjawgwdilwygmapthomwsypibypgiiaekwyaaynsysmtsenftrsdtstmtlictmeooyinosjawgwdilwygmapthomwsssss,s
The Other Side of the Door (Taylor's Version),Fearless (Taylor's Version),ithotfiwaiwtywstmmsisttiheaycahtbinpucismimtytiobiylalcislbairwiytsomwtpsiilwywtitprcbfmadylcikainiotosotdwmamspashagttpsatpikgbotwbsairtsdaatttimobiyketmwycswiliwytcamyislbairwiytsomwtpsiilwywtitprcbfmadylcikainiotosotdaisotwicelayidnybidididistnycstmtraimiimibwimiislbbaiwiytsomwtpsiilwywtitprcbfmadylcikainiotosotdwyfatbeatcwtlwlatfpoabnycmfycutsaibdcwswtmaeatlbdaeimciny,tosotd
Today Was a Fairytale (Taylor's Version),Fearless (Taylor's Version),twafywtpiutbadidytmbthaypmuastwaftwaftwafiwadywadgtytmiwpwillamtwaftsdwyawcyftmitaimhbtwykmfilwisystimhbtwtwafimhbtwtwaftwafygasttmtapemymeysirtwaftwafaticsinigsmcnmstttisyftwaftsdwyaybcyftmitaimhbtwykmfilwisystimhbtwtwafimhbtwtwaftsdwyaicfmhibimcdyfiicptdbcyftmitaimhbtwykmfilwisystimhbtwbcyftmitaimhbtwykmfilwisystimhbtwtwafimhbtwtwafooywtwaf,twaf
You All Over Me (Taylor's Version) [From the Vault],Fearless (Taylor's Version),otldorhdotpsifasbindtwtttsoocrtlemurmoyyfgotwoobsykycsiroihiutbbltdiypibsatiyccwibrmomilailhygbhoahogktlawtltstigoohbnaofgycisgyaomtbawdojwtotimywyhiypaydywyhmgwidsisaimlacneboaibrmotailailhygbhoahogktlawtltstigoohbnaofgycisgyaomilailafowiwttaastwwnrmtbsilaicaiwapomdcnaofgycisgyaomisgyaomsgyaom,yaom
Mr. Perfectly Fine (Taylor's Version) [From the Vault],Fearless (Taylor's Version),mpfmhtsmlmiteatmywngaewrmibwfyamlmesduteiwbbysbtwwigtkmcohmlmaaifaiteimjtguedbiwtstyohmpfhyhabmmaatrpatrtbhmccmerayibmmsygaympfmntmwmnhtsmcmiashdlltbghgahdfheehmnwitymbdttrigyatsbihhgharabgibpumhhbpuhaingpwypmtbiwtstinpyhmpfhyhabmmaatrpatrtbhmccmerayibmmsygaympfsdiywsssateoysywtysitbsitbrohssmawsfamiessfafaairsasisasciwmhtsnimgbasasmymmbbtybmtlgmpfhyhabmmaatrpatrtbgmccmerayibmmftltaympfypfmlmiteatmywngaysynga,mpf
We Were Happy (Taylor's Version) [From the Vault],Fearless (Taylor's Version),wutwatswtplwsbbihstbbwwhanawwhidragwbwsitcytyaamnbwidiawwhwiwgbiwgbwseaunocttwwlitdtbydfwwgbsawwhwutwtsgdotbitwtshifrnagsmhcwwhwiwgbiwgbwseaunocttwwlitdtbydfwwgbsawwhwwhoihtvtminilabtdgmcatwttafcwwhwwhwiwgbiwgbwseaunocttwwlitdtbydfaywgmmawwhwwhowwh,wwh
That's When (Taylor's Version) [From the Vault],Fearless (Taylor's Version),ysikwisinstnssttaaotaywmgaikmwwhthahtetbaiswcicbaystwwiwuitmtwwisoslwicatwibwatfgtwwisyfilyiabtwmmisikwysidywmmapytaottaottttpcaytaisltaiopayswcicbaistwwiwuitmtwwisoslwicatwibwatfgtwwisyfilyiabtwayshwywgdyetomaistwwiwuitmtwiwsoslwiwcatwywwatfgtwwisyfylmiabtwtwwiwuitmytwiwsoswilwictwibwatfgtwimytwiwytwwisyftwilytw,tw
Don't You (Taylor's Version) [From the Vault],Fearless (Taylor's Version),hikiriysibawidmtsihsnlmissmyhbdydysamaamhibdysymmiydwmaydkhmifilysswdydysirwtichyitbtjsicdmhkwttiisiwdtbdydysamaamhibdysymmiydwmaydkhmifilysswdydysiwoohtttgowmlaycswsfbidwpsiisyadydydysamaamhibdydysymmiydwmaydydkhmifilysswdydydy,dy
Bye Bye Baby (Taylor's Version) [From the Vault],Fearless (Taylor's Version),iwjlamtrdstmcdtmsidaaiigycstitltidtwalitgaittgatfciislybicbbteitwomsbbbiwybbicdtnaaihiyscytmhbyjckmbbbbbbtpfieotdvjlmisywotdtbtyhiwssoeeitwahginditthatnfiflibapoypbbteitwomsbbbiwybbicdtnaaihiyscytmhbyjckmbbbatsmtictyaiwbinettaatpajstmhaissohtebbteitwomsbbbiwybbicdtnaaihiyscytmhbyjckmbbteitwomsbbbiwybbicdtnaaihiyscytmhbyjckmoytmhitywgkmbbbbbb,bbb
Mine (Taylor's Version),Speak Now (Taylor's Version),aaaaywicwpwtlastnlbiwafrwafofwwwbwliinliscybiawlotctmicsiyyicsindyrwwstbtwypyaamftftymaroacmcdyatbttebmffawtotwtatadomtaypylmsayfowigyswnmmpmbwgbtpwgnfowiwhttyytiwitadyrwwstbtwypyaamftftymaroacmcdyatbttebmdyratclotwysmstbftftymaroacmcdyatbttebmooairtf2aaewsrooohirocayfmoitsbmftgciaiektytmbsysinlyaoysirhwfsbtwaetilayiltftifilwacmcdsitbttebmhomilhontbhoymaroacmcdhoyatbttebmdybiyyywgminyyyaicsiyyicsin,m
Sparks Fly (Taylor's Version),Speak Now (Taylor's Version),twymilaforaiahocytkortssmrbikktiwgfaystifomjcettcethycswiwtodenmmitprkmotstatpcissfwysgmwtgebatlgdgmsthmwynacissfwysmmftrmyabiytmoairsyfiebtyiiwbiomgftrotwbwyikingaicwpbirwywdenmmitprkmotstatpcissfwysgmwtgebatlgdgmsthmwynacissfwysirmftyhawtlgwjkokyeomijwetmifralmutswywsasicbyblafsdenmmitprkmotsatatpcissfwysgmwtgebatlgdgmsthmwynacissfwysatsfobsatsf,sf
Back To December (Taylor's Version),Speak Now (Taylor's Version),isgymttsmhltmhyfihstiawybgbtewstwatwygiuaikwbtltysmisbitboymygmrailtttdstimsmpsifoysisftnaigbtdattitofanbmywirwihwywmigbtdtaamiaigbtdatttdihbssupbmlwybpaidctitasatbtiwylftpsarilyitfattcctddwfcimmygmaylaaigywgstimsmpsifoysisftnaigbtdattitofanbmywirwihwywmigbtdtaacmomigbtdattimytsysssgtmsrahyhmiyatsntftyesmcmtiwtpmdbiwlaisilyrigbitacibicsitcioydiubtimsmpsifoysisftnaigbtditofanbmywirwihwywmigbtdtaamiaigbtdtaacmomigbtdattatt,btd
Speak Now (Taylor's Version),Speak Now (Taylor's Version),iantkogwsbrbioawvobyantkobwsbmtwgisiasyfahslfadipasiyaabsbiarwagslaptisnwytiwbilmiadwisasdsyranimywyootcatbddwosasvynthmoatssnfgaeatostpastsladmaiahitcistiwubylbsfdtalapqbikywiwmywiwmdydsyranimywyootcatbddwosasvynthmoatssndsyranranimywyootcatbddwosasvsasvytiroatssnoranlosasvoihtpssnofhypttstmlcisuwshaeomhlfeitrbiolayiantkogwsbrbioawvobyantkobwsbmtwghsdsyranimywyootcatbddwosasvynthmotssnayslranranimywioomtatbdbidsmvsasvsgywawtssn,sn
Dear John (Taylor's Version),Speak Now (Taylor's Version),lwtnwmdoraycmfptfwftaammamolmmbisiwfypmabstgbatitrailiycgbyctredwwvoyimgotptwispuatsitlykwdjisiantygdytiwtytbmwtgitdctwwhiskwmimambotbomiyaysntglatiaayamntyllotwduailbarhiiwtsrafaycdjisiantygdytiwtytbmwtgitdctwwhdjisianiwwdytntytbpbydtgwilysiskyaaeasaklbnibmaytatgtyrdhtlecybtobitymbfccmsdlnislfoysetodjisiantygdytiwtytbmwtgitdctwwhisiantygdytiwtytbmwtgitdwyasyskyskdytiwtyysk,dj
Mean (Taylor's Version),Speak Now (Taylor's Version),ywywlkasawtyuamyhkmomfagmflanywyvlnoaccmowiwypotwmwyctmdwjosbbydkwydksibliabocaayegbimsibbesychmaayegbimwygbsmywyssaywlayhyhpomfaaiidastiwwmhdttbyociniyijwfoaibygpasmycbtcerncyclmdtraydkwydksibliabocaayegbimsibbesychmaayegbimwygbsmaicsyyfniabtoafgwtsblobnlwuaratsobtdagoahicsbayaimayaimaalapaailamamamambsibliabocaayegbimysibbesychmaayegbimwygbsmsibliabocwygbsmaayegbimwygbsmsibbesychmwygbsmaayegbimwygbsm,m
The Story Of Us (Taylor's Version),Speak Now (Taylor's Version),iuttodwttsouhwmatsfiapwsttloiutkmpwtsntynistrfaesclidekwpyooascmltfsmttiwyksmwuicbtnisaiacrawnsaidtkiikylikmyidkwtssttofwiabdatsoulallatnnchweutwsmnpamcattlbaydybtamisttodittsouhiwlmmwisyhbyhyplyshmoiststewawptinityimybidkhinhsqtlnisaiacrawnsaidtkiikylikmyidkwtssttofwiabdatsoulallatntillacowcaltclbilibwywomstbiyhnbiwlmadiysyrltfsmttywikbtsoumbesnisaiacrawnsaidtkiikylikmyaidkwtssttofwiabdatsoulallatnnnawnsaidtkiikylikmyidkwtssttofcwgdatsoulallatnte,tsou
Never Grow Up (Taylor's Version),Speak Now (Taylor's Version),ylhwamfaisqitwtylefcydsityitoyfntyefygntrigaihhiycsltoddyegudyegujstloddyegudyeguicstsiwlnhywlnobyhanowdyjttnguanguyitcotwttmaymymdyoaftjsmycdaycwtmosacyosbdmhdyoatbrtsgotadltwtydaiypgrfsoddyegudyegujstloddyegudyeguicstsanoebynelysaetywtjttngutpiymoycrmwislwydghrtfrtwsaaylbfsijreihisgbgshiaimnaiabctjdmoismctitiwbsitmiatmnowinguwinguoidwguwinguicsbloidwguwinguicsbsoddyegudyegujstloddyegudyeguicstsiwlnhynguwlnobyhaetywtpttnguoongujnguongujngu,ngu
Enchanted (Taylor's Version),Speak Now (Taylor's Version),tiwatflfssotlpwoiseavvwisyfaicsiiwetmyyewhwmatrysstmiwtmtpcscayqrlpnisaiwetmyaicsiiwetmytnisdyligiwbatwhisfwiykiwetmytlqkmu2awdyliwtiwaanipbafwywamdiouaywshiwetmyaikiiwetmytnisdyligiwbatwhisfwiyktnifdyligiwdaaaisfwiykiwetmytimpttwtvfpnwtsemtweynuisyatatwihbaiwltsiwetmypdbilwsepdhswoypdbilwseopdhswoyotnisdyligiwbatwhisfwiyktnifpdbilwsedyligiwpdhswoydaaaisfpdbilwsewiykiwetmypdbilwsepdhswoy,e
Better Than Revenge (Taylor's Version),Speak Now (Taylor's Version),ngsitcatawydhhtfalrtsswiwhaiwsaihiaihhrtwiwhscaghaalhtasthftycssinsicwhsiiujwiwdwoshtktpwbomladsujwswsfsnasasnwytsaawhwamttfswhtmwssgfsoptotpwmymfsskimsskimtinidbtrrhslalliapasotlslamliatassoiithefialtastipciltrhnwtbsiwywowykoppdtgywywgtdtytipssiutmtnaovdgydtawydsnasasnwytsaawhwamttfswhtmwssgfsoptotpwmymfsskimsskimtinidbtrhijatfytryeahymhhbhyhijatfytryeahymhhbiagtlwwcocytibcosnasasnwytnsaawyktydthwamttfswhtmwssgfsoptotpwmymfsskimsskimtinidbtrcodysflykwydcidtydonnnndysflykwydnidtydidtydlhtacococosmhmbyaoosmbysydsacysmbsthftycss,btr
Innocent (Taylor's Version),Speak Now (Taylor's Version),igyrdittlyiywplyboatlymttgibwieiyldaabbtciwibwybieaebiyiajwasysolasbtmowyainwybysaiysaidstycsobanyliaaywbsotfnioyhswykntwieiyfdweoorsbbdtywibrwtyfabtmcutyiajwasysolasbtmowyainwybysaiioliatctasgunwyainwydysaittfteyhnseoouhmutomcltwihyrtintltbbnooiajwasysolisbtmowyainwybysaiioliatctasgunwyainwydysaiysailyboatointltgib,i
Haunted (Taylor's Version),Speak Now (Taylor's Version),yaiwaflihkiattbintiltsibigdaiasqaictanaicoyliaabmohmbwlyasmyegccocodlmltitihyfosgtwyaiwcocodlmltitihyfocbwygctbnihstawywafewhbismewistyhwtttampahjmmmsbtwtiwhwyiohmbwsyaskmhoncocodlmltitihyfosgtwyaiwcocodlmltitihyfocbwygctbnihikikijkyngycbgncocodlmltitihyfosgtwtwwfwyscocodlmltitihyfocbwygicgbihoyaiwaflihkiattnetisibntisi,h
