Title,Album,Lyrics,TitlesCleaned
Tim McGraw,Taylor Swift,hstwmbesptgststnistaljabiactthatogsobanaiwrtbhaslatttwwutftsgbwyttmihytmfstowdtanltmlasotlwythihyttlbdtomhoycamofbjwyttmihytomssamotatgtywhtsmltbiabbmbialtynrftsbihntfiaalbalboaotintbwyttmihytmfstowdtanltmlasotlwythihyttlbdtomhoycamofbjwyttmihytomaibftftstisoysatalloydatfttyriwyttmihytmfssytyroihitybttpwythihyttlbdtomhoycamofbjwyttmihytomotommhstwmbesptgststnistal,tm
Picture to Burn,Taylor Swift,stoidgmpfirylymtycelmsgatyftioactfywmiisbtwihtsoptynlmdyarhwrbalswmsamoamwtafaicyjaptbtntftijshpmrtnsmfgowaoybfaiycasstmmdgsyhsybcihtsoptynlmdyarhwrbalswmsamoamwtafaicyjaptbaiymmybkityccbahwbbfyhcihtsoptynlmdyarhwrbalswmsamoamwticyhhirrhtsoptynlmdyarhwrbalswmsamoamwtafaicyjaptbbbbbbyjaptbbb,ptb
Teardrops On My Guitar,Taylor Swift,dlamifasshwstiwainetwsbibsbtghtaasgetihtlwdttmilcijsfticesawhwmhshsilhfgiriwihkhaitaanhtrfttomgtottkmwoawshtsitciksdkwiddwbmchtticbathgsptkofiwicbsbhhtghahllitbeakslchtrfttomgtottkmwoawshtsitciksdkwidsidhaaitotliphpdamgsstchtrfttomgtoowgeomtbmhhtsitciksdkwidhtttubtneahatintfidlamifasshws,tomg
A Place In This World,Taylor Swift,idkwiwsdamcisttfiodkwdtrijwttsttrcdetintoowftwidiaomoataikibsibwoblgooijagttfapitwgtromobjaiwmhomsfltgtscytmwmdinatjamoybtoiaomoataikibsibwoblgooijagttfapitwmijagoambirtfiaomoataikibsibwoblgooiaomoataikoijagttfapitwoijagoijagoooijag,apitw
Cold as You,Taylor Swift,yhawocetmawytyttvbomsisafcintfsaydwywcinwywowaswaregtapdjwaanudwtywnsantishtitinbacayypuwaptaasogaistlyawtaaaycawaglsoamoadwtntayowaswaregtapdsjwaanudwtywnsantishtitinbacayyndgadthbiccfyaikywhtniiddfydfyowaswaregtapdoesyfisccatsymantishtitinbacayo,cay
The Outside,Taylor Swift,idkwiwfwiwlfarikidrbtlabigntgittttrltbbnstwtfftairshciettbbnelmiicssytatbvotoliibalolpinbotoysmtbnktiwgiautbapotapoyaniatlsysychiyhwtbnonuitltdahciettbbnelmiicssytatbvotoliibalolpinbotooyhciettbbnelmiaicssytatbvotoliibalolpinbotoooooo,to
Tied Together with a Smile,Taylor Swift,stoowdsybitfitmlbayywahtynpbtntcikyhobylitwhyjiialganoktycbydtatymnbtgoayttwasbycuoigittlwaywcygialiechiweuihppbhlyolapitrocinhptpinhptphobylitwhyjiialganoktycbydtatymnbtgoayttwasbycuooohobylitwhyjiialganoktycbydtatymnbtgoayttwasbycuoyttwasbycuoogbwasbbo,ttwas
Stay Beautiful,Taylor Swift,cealajhsiltrhwsimwiwtnktpgoectwhahwhsdhkwyekybelpldykyrgbsaaawyfeylfihyllybtmdobiidsbcfawtbthomditpimmsicsefardihtmacwhtmbaisshbtwybelpldykyrgbsaaawyfeylfihyllybtmdobiidsbiyaiaastngtiwyaiadingthalykybelpldykyrgbsaaawyfeylfihyllybtmfdobiidwysbbbbbblooobiidsbsbnn,sb
Should've Said No,Taylor Swift,istttswutststfeigyifoayenjlayfwystytiabgociwamowaysyyssnysghysttfyliagysktwbwydwhgbtmgbtmaisbtitboymisbamwysbbffamfyssnbaymshmycstibcabykatrttsbdyhemtbwcebtsysttpitpynociwamowaysyyssnysghysttfyliagysktwbwydwhgbtmgbtmaisbtitboymisbamwysbbffamfyssnbaymshmooicrbygtmtwiwiwswtnnnnnnyssnysghysttfyliagysktwbwydwhgbtmgbtmaisbtitboymisbamwysbbffamfyssnbaymshm,ssn
Mary's Song (Oh My My My),Taylor Swift,ssiwsaywnilayltstsitstplaodutjattouguafilaomsarteasommmtmbtthitbtsybmuywbtmyndyndtmbwowwobwidytkmarwytjtkyaiommmmwiwswsiwtlgyutsbyesslplaodutjattoutnbwrfilaomsarteasommmtmbttcbwtu2ariytaainiyntmtmbtttwhovfftsodsokgysottmlommmmafyhgacawwsaofsitaylamgdooktmbtttwwwdtaowtcaomcysidaidttmhwwmsmybwrobotvfpaattyaiaibeybeislayltstsitsommm,ms
